Case,Time,Value,model_bound,real_bound,model_gap,real_gap,relative_gap
c1050_2,0.3106958,583.0,583.0,583.0,0.0,0.0,0.0
c0848_1,0.5373106,797.0,797.0,797.0,0.0,0.0,0.0
c0525_1,0.14601,438.0,438.0,438.0,0.0,0.0,0.0
c0530_4,0.1363194,394.9999999999992,394.9999999999992,395.0,0.0,-7.958078640513122e-13,0.0
c0530_5,0.2380344,405.9999999999856,405.9999999999856,406.0,0.0,-1.4381384971784428e-11,0.0
c0520_5,0.0588271,267.0,267.0,267.0,0.0,0.0,0.0
c0515_4,0.0922589,274.0,274.0,274.0,0.0,0.0,0.0
c1030_2,0.1694412,475.9999999999978,475.9999999999978,476.0,0.0,-2.2168933355715126e-12,0.0
d20200,5.6146823,12412.0,12225.0,12230.0,187.0,182.0,0.015066065098291975
c0840_5,0.4421715,649.0,649.0,649.0,0.0,0.0,0.0
d30900,8.8412376,63740.0,54831.0,54833.0,8909.0,8907.0,0.13977094446187638
c0840_4,0.3279463,645.0,645.0,645.0,0.0,0.0,0.0
c0824_3,0.1509653,383.0,383.0,383.0,0.0,0.0,0.0
c1030_4,0.2958997,496.9999999999993,496.9999999999993,497.0,0.0,-6.821210263296962e-13,0.0
c0832_2,0.2840213,526.9999999999999,526.9999999999999,527.0,0.0,-1.1368683772161603e-13,0.0
c0525_3,0.1836119,445.99999999999983,445.99999999999983,446.0,0.0,-1.7053025658242404e-13,0.0
c1030_5,0.513808,488.00000000000006,488.0,488.0,5.684341886080802e-14,5.684341886080802e-14,1.1648241569837706e-16
e30900,9.0306206,121110.0,100427.0,100426.0,20683.0,20684.0,0.17077863099661464
c0832_5,0.1533449,521.0,521.0,521.0,0.0,0.0,0.0
a05100,0.2907167,1698.0,1698.0,1698.0,0.0,0.0,0.0
d20100,5.3331546,6275.0,6165.0,6177.0,110.0,98.0,0.01752988047808765
a10100,0.1875108,1360.0,1360.0,1360.0,0.0,0.0,0.0
c0520_4,0.1220355,269.0,269.0,269.0,0.0,0.0,0.0
c1040_2,0.3082115,637.9999999999998,637.9999999999998,638.0,0.0,-2.2737367544323206e-13,0.0
e60900,17.1819877,308564.0,100144.0,100147.0,208420.0,208417.0,0.675451446053331
e201600,10.2141364,214595.0,180644.0,180644.0,33951.0,33951.0,0.15820965073743565
c0525_5,0.0543087,411.0,411.0,411.0,0.0,0.0,0.0
c1060_5,0.5027071,945.0,945.0,945.0,0.0,0.0,0.0
d201600,9.8594995,113076.0,97823.0,97823.0,15253.0,15253.0,0.13489157734620963
