Case,Time,Value,model_bound,real_bound,model_gap,real_gap,relative_gap
c1050_2,0.2581783,583.0,583.0,583.0,0.0,0.0,0.0
c0848_1,0.4709006,797.0,797.0,797.0,0.0,0.0,0.0
c0525_1,0.1056225,438.0,438.0,438.0,0.0,0.0,0.0
c0530_4,0.1164358,394.9999999999992,394.9999999999992,395.0,0.0,-7.958078640513122e-13,0.0
c0530_5,0.1576181,405.9999999999856,405.9999999999856,406.0,0.0,-1.4381384971784428e-11,0.0
c0520_5,0.0183706,267.0,267.0,267.0,0.0,0.0,0.0
c0515_4,0.0333,274.0,274.0,274.0,0.0,0.0,0.0
c1030_2,0.1115404,475.9999999999978,475.9999999999978,476.0,0.0,-2.2168933355715126e-12,0.0
d20200,60.2207278,12320.0,12225.0,12230.0,95.0,90.0,0.007711038961038961
c0840_5,0.3537689,649.0,649.0,649.0,0.0,0.0,0.0
d30900,61.6984362,55040.0,54832.0,54833.0,208.0,207.0,0.0037790697674418604
c0840_4,0.2658414,645.0,645.0,645.0,0.0,0.0,0.0
c0824_3,0.1148849,383.0,383.0,383.0,0.0,0.0,0.0
c1030_4,0.2617753,496.9999999999993,496.9999999999993,497.0,0.0,-6.821210263296962e-13,0.0
c0832_2,0.2401233,526.9999999999999,526.9999999999999,527.0,0.0,-1.1368683772161603e-13,0.0
c0525_3,0.1557178,445.99999999999983,445.99999999999983,446.0,0.0,-1.7053025658242404e-13,0.0
c1030_5,0.466865,488.00000000000006,488.0,488.0,5.684341886080802e-14,5.684341886080802e-14,1.1648241569837706e-16
e30900,61.2907575,100464.0,100427.0,100426.0,37.0,38.0,0.0003682911291606944
c0832_5,0.1059575,521.0,521.0,521.0,0.0,0.0,0.0
a05100,0.0382912,1698.0,1698.0,1698.0,0.0,0.0,0.0
d20100,60.1107681,6248.000000000001,6166.0,6177.0,82.00000000000091,71.00000000000091,0.013124199743918197
a10100,0.0898157,1360.0,1360.0,1360.0,0.0,0.0,0.0
c0520_4,0.0956649,269.0,269.0,269.0,0.0,0.0,0.0
c1040_2,0.2296207,637.9999999999998,637.9999999999998,638.0,0.0,-2.2737367544323206e-13,0.0
e60900,63.0909922,100378.0,100146.0,100147.0,232.0,231.0,0.002311263424256311
e201600,61.5479666,180689.0,180644.0,180644.0,45.0,45.0,0.0002490467045586616
c0525_5,0.0259102,411.0,411.0,411.0,0.0,0.0,0.0
c1060_5,0.4569965,945.0,945.0,945.0,0.0,0.0,0.0
d201600,61.5724876,97970.0,97823.0,97823.0,147.0,147.0,0.0015004593242829438
c0832_3,0.1599843,519.0,519.0,519.0,0.0,0.0,0.0
d20400,60.502142,24692.0,24558.0,24561.0,134.0,131.0,0.005426858901668556
c0840_2,0.3973323,662.0,662.0,662.0,0.0,0.0,0.0
c0824_5,0.2153135,396.0,396.0,396.0,0.0,0.0,0.0
c0530_1,0.1388065,423.0,423.0,423.0,0.0,0.0,0.0
d801600,67.3189645,113521.0,97034.00000000097,97034.0,16486.999999999025,16487.0,0.14523304058279107
